datetime	fase	texto
2018-01-01 23:24:00	Cheia	01 de janeiro, 23:24
2018-01-08 19:25:00	Minguante	08 de janeiro, 19:25
2018-01-16 23:17:00	Nova	16 de janeiro, 23:17
2018-01-24 19:20:00	Crescente	24 de janeiro, 19:20
2018-01-31 10:27:00	Cheia	31 de janeiro, 10:27
2018-02-07 12:54:00	Minguante	07 de fevereiro, 12:54
2018-02-15 18:05:00	Nova	15 de fevereiro, 18:05
2018-02-23 05:09:00	Crescente	23 de fevereiro, 05:09
2018-03-01 21:51:00	Cheia	01 de março, 21:51
2018-03-09 08:20:00	Minguante	09 de março, 08:20
2018-03-17 10:11:00	Nova	17 de março, 10:11
2018-03-24 12:35:00	Crescente	24 de março, 12:35
2018-03-31 21:51:00	Cheia	31 de março, 21:51
2018-04-08 04:17:00	Minguante	08 de abril, 04:17
2018-04-15 22:57:00	Nova	15 de abril, 22:57
2018-04-22 18:45:00	Crescente	22 de abril, 18:45
2018-04-29 21:58:00	Cheia	29 de abril, 21:58
2018-05-07 23:09:00	Minguante	07 de maio, 23:09
2018-05-15 08:48:00	Nova	15 de maio, 08:48
2018-05-22 00:49:00	Crescente	22 de maio, 00:49
2018-05-29 11:19:00	Cheia	29 de maio, 11:19
2018-06-06 15:32:00	Minguante	06 de junho, 15:32
2018-06-13 16:43:00	Nova	13 de junho, 16:43
2018-06-20 07:51:00	Crescente	20 de junho, 07:51
2018-06-28 01:53:00	Cheia	28 de junho, 01:53
2018-07-06 04:51:00	Minguante	06 de julho, 04:51
2018-07-12 23:48:00	Nova	12 de julho, 23:48
2018-07-19 16:52:00	Crescente	19 de julho, 16:52
2018-07-27 17:20:00	Cheia	27 de julho, 17:20
2018-08-04 15:18:00	Minguante	04 de agosto, 15:18
2018-08-11 06:58:00	Nova	11 de agosto, 06:58
2018-08-18 04:48:00	Crescente	18 de agosto, 04:48
2018-08-26 08:56:00	Cheia	26 de agosto, 08:56
2018-09-02 23:37:00	Minguante	02 de setembro, 23:37
2018-09-09 15:01:00	Nova	09 de setembro, 15:01
2018-09-16 20:15:00	Crescente	16 de setembro, 20:15
2018-09-24 23:52:00	Cheia	24 de setembro, 23:52
2018-10-02 06:45:00	Minguante	02 de outubro, 06:45
2018-10-09 00:47:00	Nova	09 de outubro, 00:47
2018-10-16 15:02:00	Crescente	16 de outubro, 15:02
2018-10-24 13:45:00	Cheia	24 de outubro, 13:45
2018-10-31 13:40:00	Minguante	31 de outubro, 13:40
2018-11-07 13:02:00	Nova	07 de novembro, 13:02
2018-11-15 11:54:00	Crescente	15 de novembro, 11:54
2018-11-23 02:39:00	Cheia	23 de novembro, 02:39
2018-11-29 21:19:00	Minguante	29 de novembro, 21:19
2018-12-07 04:20:00	Nova	07 de dezembro, 04:20
2018-12-15 08:49:00	Crescente	15 de dezembro, 08:49
2018-12-22 14:48:00	Cheia	22 de dezembro, 14:48
2018-12-29 06:34:00	Minguante	29 de dezembro, 06:34
2019-01-05 22:28:00	Nova	05 de janeiro, 22:28
2019-01-14 03:45:00	Crescente	14 de janeiro, 03:45
2019-01-21 02:16:00	Cheia	21 de janeiro, 02:16
2019-01-27 18:10:00	Minguante	27 de janeiro, 18:10
2019-02-04 18:03:00	Nova	04 de fevereiro, 18:03
2019-02-12 19:26:00	Crescente	12 de fevereiro, 19:26
2019-02-19 12:53:00	Cheia	19 de fevereiro, 12:53
2019-02-26 08:28:00	Minguante	26 de fevereiro, 08:28
2019-03-06 13:04:00	Nova	06 de março, 13:04
2019-03-14 07:27:00	Crescente	14 de março, 07:27
2019-03-20 22:43:00	Cheia	20 de março, 22:43
2019-03-28 01:10:00	Minguante	28 de março, 01:10
2019-04-05 05:50:00	Nova	05 de abril, 05:50
2019-04-12 16:06:00	Crescente	12 de abril, 16:06
2019-04-19 08:12:00	Cheia	19 de abril, 08:12
2019-04-26 19:18:00	Minguante	26 de abril, 19:18
2019-05-04 19:45:00	Nova	04 de maio, 19:45
2019-05-11 22:12:00	Crescente	11 de maio, 22:12
2019-05-18 18:11:00	Cheia	18 de maio, 18:11
2019-05-26 19:18:00	Minguante	26 de maio, 19:18
2019-06-03 07:02:00	Nova	03 de junho, 07:02
2019-06-10 02:59:00	Crescente	10 de junho, 02:59
2019-06-17 05:31:00	Cheia	17 de junho, 05:31
2019-06-25 06:46:00	Minguante	25 de junho, 06:46
2019-07-02 16:16:00	Nova	02 de julho, 16:16
2019-07-09 07:55:00	Crescente	09 de julho, 07:55
2019-07-16 18:38:00	Cheia	16 de julho, 18:38
2019-07-24 22:18:00	Minguante	24 de julho, 22:18
2019-08-01 00:12:00	Nova	01 de agosto, 00:12
2019-08-07 14:31:00	Crescente	07 de agosto, 14:31
2019-08-15 09:29:00	Cheia	15 de agosto, 09:29
2019-08-23 11:56:00	Minguante	23 de agosto, 11:56
2019-08-30 07:37:00	Nova	30 de agosto, 07:37
2019-09-06 00:10:00	Crescente	06 de setembro, 00:10
2019-09-14 01:33:00	Cheia	14 de setembro, 01:33
2019-09-21 23:41:00	Minguante	21 de setembro, 23:41
2019-09-28 15:26:00	Nova	28 de setembro, 15:26
2019-10-05 13:47:00	Crescente	05 de outubro, 13:47
2019-10-13 18:08:00	Cheia	13 de outubro, 18:08
2019-10-21 09:39:00	Minguante	21 de outubro, 09:39
2019-10-28 00:38:00	Nova	28 de outubro, 00:38
2019-11-04 07:23:00	Crescente	04 de novembro, 07:23
2019-11-12 10:34:00	Cheia	12 de novembro, 10:34
2019-11-19 18:11:00	Minguante	19 de novembro, 18:11
2019-11-26 12:05:00	Nova	26 de novembro, 12:05
2019-12-04 03:58:00	Crescente	04 de dezembro, 03:58
2019-12-12 02:12:00	Cheia	12 de dezembro, 02:12
2019-12-19 01:57:00	Minguante	19 de dezembro, 01:57
2019-12-26 02:13:00	Nova	26 de dezembro, 02:13
